X,Y,Pressure,Duration,Orientation,Size
0.5196117,0.5088811,0.5,0.0,0.0,0.0
0.5196117,0.5088811,0.5,0.024096385,0.0,0.0
0.12044376,0.5259884,0.5,0.0,0.3078784,0.0018729274
0.5099049,0.5110093,0.5,0.0,0.00843032,0.0019242119
0.5196117,0.5088811,0.5,0.030120483,0.0,0.0019242119
0.9269017,0.483834,0.5,0.0,0.31590843,0.0038459888
0.5196117,0.5088811,0.5,0.0,0.0,0.0038459888
0.49366084,0.5241058,0.5,0.0,0.034575235,0.0040563215
0.5196117,0.5088811,0.5,0.21084337,0.0,0.0040563215
0.5196117,0.5088811,0.5,0.15060242,0.0,0.0040563215
0.5196117,0.5088811,0.5,0.37349397,0.0,0.0040563215
0.58795565,0.5687976,0.5,0.0,0.12298472,0.004804479
0.5196117,0.5088811,0.5,0.23493975,0.0,0.004804479
0.37163228,0.6769256,0.5,0.0,0.33202282,0.006824285
0.56206053,0.44884697,0.5,0.0,0.1161261,0.0075307186
0.24102986,0.14246032,0.5,0.0,0.713119,0.011868861
0.5196117,0.5088811,0.5,0.19277109,0.0,0.011868861
0.5196117,0.5088811,0.5,0.0,0.0,0.011868861
0.5734945,0.47965953,0.5,0.0,0.06820966,0.012283803
0.5196117,0.5088811,0.5,0.30722892,0.0,0.012283803
0.5196117,0.5088811,0.5,0.012048193,0.0,0.012283803
0.62916005,0.86903495,0.5,0.0,0.67396355,0.016383749
0.5196117,0.48515552,0.5,0.313253,0.0008311622,0.01665173
0.57488114,0.4174393,0.5,0.0,0.17499602,0.017716289
0.5071315,0.41090286,0.5,0.0,0.18216938,0.018824486
0.5196117,0.5088811,0.5,0.25903615,0.0,0.018824486
0.5324881,0.36350986,0.5,0.0,0.27009356,0.020467555
0.5196117,0.5088811,0.5,0.0,0.0,0.020467555
0.5196117,0.5088811,0.5,0.36746988,0.0,0.020467555
0.54021394,0.7226815,0.5,0.0,0.3972809,0.022884348
0.52215064,0.49976468,0.5,0.21084337,0.00047328463,0.022987997
0.4491251,0.58601743,0.5,0.0,0.15308908,0.02391929
0.6022187,0.5791111,0.5,0.0,0.14498194,0.024801264
0.503962,0.54866177,0.5,0.0,0.074830726,0.025256485
0.4300713,0.51894903,0.5,0.0,0.07119206,0.025689568
0.48573694,0.5741999,0.5,0.0,0.124031596,0.026444094
0.63629156,0.5346648,0.5,0.0,0.10151238,0.027061628
0.5053486,0.4977491,0.5,0.0,0.023386799,0.027203899
0.5196117,0.5088811,0.5,0.0,0.0,0.027203899
0.519833,0.49840865,0.5,0.26506022,0.0004321122,0.02732219
0.55029374,0.52794814,0.5,0.0,0.042513218,0.02758081
0.49346274,0.53147256,0.5,0.0,0.046496306,0.027863665
0.5196117,0.5088811,0.5,0.09638554,0.0,0.027863665
0.51862127,0.50814444,0.5,0.19879515,4.6020563e-05,0.027873183
0.5122225,0.503417,0.5,0.12650603,0.0005282541,0.027943881
0.50937325,0.49264348,0.5,0.10843373,0.0016397394,0.028133407
0.51742953,0.4390709,0.5,0.0,0.12962836,0.02892198
0.4961379,0.5838039,0.5,0.2710843,0.003049371,0.029775295
0.81051826,0.080352664,0.5,0.0,0.82636285,0.03480234
0.5196117,0.5088811,0.5,0.4939759,0.0,0.03480234
