X,Y,Pressure,Duration,Orientation,Size
0.64905584,0.50753343,0.5,0.007575758,0.1905319,0.80094886
0.5,0.5,0.5,0.13636364,0.0,0.80094886
0.5007899,0.4977766,0.5,0.6439394,5.2844625e-05,0.8011891
0.500605,0.4975715,0.5,0.09090909,0.00040359437,0.80144817
0.5,0.5,0.5,0.007575758,0.0,0.80144817
0.38280407,0.5035063,0.5,0.007575758,0.14951158,0.809445
0.49843594,0.50178605,0.5,0.37878788,8.084165e-05,0.8096612
0.49731714,0.5028011,0.5,0.11363637,0.0004325877,0.8100083
0.49664614,0.5021146,0.5,0.121212125,0.0003729151,0.8103274
0.49593326,0.4994955,0.5,0.12878788,0.00031040492,0.81060964
0.500672,0.500156,0.5,0.121212125,5.6859553e-05,0.81065834
0.6808627,0.5511736,0.5,0.007575758,0.25154683,0.8241127
0.49947938,0.49540672,0.5,0.75,9.159364e-05,0.8245977
0.49778223,0.48863107,0.5,0.121212125,0.0014100911,0.8258045
0.4994663,0.49787456,0.5,0.09090909,0.00035329701,0.8260312
0.5,0.5,0.5,0.015151516,0.0,0.8260312
0.13752393,0.532773,0.5,0.007575758,0.46641695,0.8509783
0.5,0.5,0.5,0.22727273,0.0,0.8509783
0.7832013,0.8228374,0.5,0.007575758,0.7309336,0.89007354
0.4939203,0.4886331,0.5,0.16666667,0.0010764983,0.89134026
0.48848018,0.4630097,0.5,0.06818182,0.008254808,0.8953139
0.5044051,0.28134534,0.5,0.007575758,0.4305348,0.9183418
0.52864164,0.8064507,0.5,0.007575758,0.6044585,0.95067227
0.035936013,0.14057064,0.5,0.007575758,0.9222433,1.0
0.5,0.5,0.5,0.36363637,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
