X,Y,Pressure,Duration,Orientation,Size
0.4990005,0.49679062,0.5,0.22222222,0.0003570128,0.7156523
0.4964017,0.47864679,0.5,0.7654321,0.000686254,0.7181352
0.6892986,0.06982178,0.5,0.012345679,0.8672451,0.7687442
0.5,0.5,0.5,0.5308642,0.0,0.7687442
0.24620259,0.47829288,0.5,0.012345679,0.19621044,0.7801942
0.5,0.5,0.5,0.012345679,0.0,0.7801942
0.5,0.5,0.5,0.5925926,0.0,0.7801942
0.5,0.5,0.5,0.60493827,0.0,0.7801942
0.27285436,0.5169818,0.5,0.012345679,0.17460053,0.7903833
0.5,0.5,0.5,0.012345679,0.0,0.7903833
0.5,0.5,0.5,0.7407407,0.0,0.7903833
0.6126065,0.6208176,0.5,0.012345679,0.25481492,0.80525327
0.5,0.5,0.5,0.38271606,0.0,0.80525327
0.57909125,0.37503794,0.5,0.012345679,0.25554708,0.820166
0.5,0.5,0.5,0.5925926,0.0,0.820166
0.6419242,1.0,0.5,0.012345679,1.0,0.87852204
0.49789375,0.4938658,0.5,0.20987654,0.0007235841,0.87923986
0.49279743,0.46354425,0.5,0.20987654,0.004276227,0.8834821
0.58167,0.34649152,0.5,0.012345679,0.31140515,0.9016545
0.46281993,0.7269535,0.5,0.012345679,0.45216972,0.92804134
0.44776168,0.47387034,0.5,0.012345679,0.065205805,0.93184644
0.43703362,0.14444567,0.5,0.012345679,0.70861655,0.97319853
0.4759939,0.54624975,0.5,0.22222222,0.005207396,0.97866845
0.4922893,0.6528557,0.5,0.012345679,0.30401087,0.9964093
0.5776252,0.509527,0.5,0.012345679,0.061530773,1.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
